Benchmark,Type,Avg. Instructions,Avg. Cycles,Avg. Branches,Avg. Branch-Misses,Avg. Seconds,IPC,Branch-Miss-Rate,IPS
lbm,train,804105.0,2311734.3333333335,81923.66666666667,31263.666666666668,0.0034573376666666663,0.34783624934987484,0.3816194750397728,232579249.56322366
specrand,test,65921064.0,73393126.0,9609946.0,296357.0,0.062593144,0.8981912556769962,0.03083857078905542,1053167484.2854993
specrand,ref,632509892.0,676532272.0,92405585.0,2429777.0,0.567580261,0.9349293717063064,0.026294698529315083,1114397267.5963092
specrand,train,443431.0,1776245.0,55638.666666666664,18874.666666666668,0.002469672,0.24964517845229683,0.3392365021927197,179550563.7995653
sjeng,ref,2938029872894.0,3941130590850.0,401532960768.0,17202552919.0,4680.068017968,0.7454789444722112,0.04284219379175547,627775036.9469285
sjeng,test,19483175375.0,28987853329.0,2640371915.0,121134072.0,29.794387059,0.6721151495377776,0.04587765508026925,653920999.8319032
sjeng,train,614549044537.6666,844085613631.3334,82182565220.0,4131360114.3333335,1247.7366384343334,0.7280648249575307,0.05027051788020755,492531056.3203514
leslie3d,ref,1886486660913.0,13158781258790.0,113970287354.0,1316816032.0,12981.09653395,0.14336332702945695,0.011554029234916937,145325678.45706972
leslie3d,test,49144866562.0,333556391309.0,3007932873.0,32058062.0,279.2410095,0.1473360062720944,0.010657838240926728,175994445.26431566
leslie3d,train,269339167209.0,2140126671279.0,16341622071.333334,201486768.0,1792.2225576850003,0.12585197447590116,0.012329667588718164,150282210.2389467
omnetpp,test,1780718674.0,3448891447.0,235026800.0,85939776.0,2.889543332,0.5163162428753589,0.3656594737281025,616263010.9331062
omnetpp,ref,631995906202.0,4384501716272.0,102822650841.0,11516173831.0,4914.442284153,0.14414315402283973,0.11200035922831884,128599720.91643435
omnetpp,train,224832159058.33334,595473486266.0,32599060231.0,5558380411.666667,572.9822938093333,0.37756871505425865,0.17050738187786585,392389366.10692006
gobmk,ref,410076568204.6,586026128530.0,56457311502.6,508232701.2,495.929439689,0.6997581647651863,0.009002070549827627,826884906.170848
gobmk,test,9982667508.571428,15240449874.428572,1352323930.0,13407068.57142857,12.754599674714285,0.6550113409264252,0.009914095487039537,782671958.6003039
gobmk,train,48737298269.333336,68187824849.375,6537503856.708333,63298800.791666664,59.66184106812501,0.7147507399890327,0.009682411235094543,816892294.9206771
zeusmp,ref,1559705036621.0,7831506645173.0,44462112427.0,830354319.0,7765.154126517,0.19915772370343762,0.018675548094196266,200859507.90014693
zeusmp,test,41348509944.0,190341711695.0,1266591932.0,30468597.0,245.435745201,0.21723304669160526,0.02405557483055245,168469796.07692257
zeusmp,train,88998666280.33333,424859840744.6667,2682703890.3333335,66790951.0,666.8951393566666,0.20947770945905891,0.024896877825640696,133452264.12384355
calculix,ref,5959437498182.0,10800296572956.0,519033505236.0,1108541945.0,9061.035598073,0.5517846160914195,0.0021357810889221025,657699380.3500106
calculix,test,175054897.0,227553391.0,27254874.0,583364.0,0.195370104,0.7692915329923604,0.02140402483607152,896016808.1806417
calculix,train,6121258163.333333,9241808922.333334,882590605.3333334,12764161.333333334,7.734688270333334,0.6623441595444567,0.014462154090698275,791403344.1802214
libquantum,test,297853683.0,319237691.0,52233851.0,102454.0,0.269468947,0.9330154032469806,0.0019614483335720356,1105335833.0004532
libquantum,ref,2172588310080.0,12582960148429.0,398258768538.0,1256138330.0,12276.207792249,0.1726611452672566,0.0031540757648883884,176975524.26994085
libquantum,train,11908775113.0,29494589679.333332,2143203353.3333333,2895401.6666666665,24.670376133333335,0.4037613420791001,0.0013509691752597512,482715587.66019297
